# ../../ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M178-N1_12-1_P.ttl.conll#s1_0	be-nëmen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M178-N1_12-1_P.ttl.conll#bPARSE_37	DAT>ACC	DPOSA	NA	DDART	NA	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M178-N1_12-1_P.ttl.conll#s2_0	rüèren	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M178-N1_12-1_P.ttl.conll#bPARSE_91	DAT>ACC	DPOSA	NA	_	PPER	main		12	1	P	

# ../../ReM/full_corpus/conll/M186-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M187-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M188y-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M220M-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M220P-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M230-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M230-N1_12-1_P.ttl.conll#s10_0	ge-winnen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M230-N1_12-1_P.ttl.conll#bPARSE_319	DAT>ACC	DDART	NA	_	PPER	depOrCoord		12	1	P	

# ../../ReM/full_corpus/conll/M235-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M235-N1_12-1_P.ttl.conll#s5_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M235-N1_12-1_P.ttl.conll#bPARSE_42	DAT>ACC	DPOSA	NA	_	PPER	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M235-N1_12-1_P.ttl.conll#s5_0	ver-lâzen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M235-N1_12-1_P.ttl.conll#bPARSE_49	DAT>ACC	DPOSA	NA	_	PPER	main		12	1	P	

# ../../ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s19_0	_	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_388	DAT>ACC	_	NA	_	PPER	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s51_0	nëmen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_896	ACC>DAT	DDART	NA	_	NE	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s28_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_605	ACC>DAT	DDART	NA	DDART	NA	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s24_0	_	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_553	DAT>ACC	DDART	NA	DDART	NA	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s43_0	künden	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_774	DAT>ACC	DIART	NA	_	PPER	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s23_0	swèr(e)n	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_526	DAT>ACC	_	NA	_	PPER	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#s24_0	swèr(e)n	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M252-N1_12-1_P.ttl.conll#bPARSE_558	DAT>ACC	_	NA	_	PPER	main		12	1	P	

# ../../ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll#s8_0	zièhen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll#bPARSE_62	ACC>DAT	_	PPER	_	NA	main		12	1	PV	

# ../../ReM/full_corpus/conll/M034-N1_12-1_PV.ttl.conll

# ../../ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#s26_0	tèilen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#bPARSE_428	DAT>ACC	DPOSA	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#s26_0	tèilen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#bPARSE_428	DAT>ACC	DDART	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#s14_0	blâsen/în+	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#bPARSE_214	DAT>ACC	DPOSA	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#s15_0	vürhten	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#bPARSE_233	DAT>ACC	DDART	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#s29_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M069-G1_12-1_V.ttl.conll#bPARSE_475	DAT>ACC	_	NA	_	PPER	main		12	1	V	

# ../../ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#s14_0	zèigen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#bPARSE_198	DAT>ACC	_	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#s15_0	nëmen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#bPARSE_214	DAT>ACC	_	NA	_	NA	depOrCoord		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#s13_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#bPARSE_161	DAT>ACC	_	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#s13_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M115-N1_12-1_V.ttl.conll#bPARSE_170	DAT>ACC	DDART	NA	_	PPER	main		12	1	V	

# ../../ReM/full_corpus/conll/M137-N1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M137-N1_12-1_V.ttl.conll#s27_0	bringen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M137-N1_12-1_V.ttl.conll#bPARSE_408	DAT>ACC	_	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M137-N1_12-1_V.ttl.conll#s29_0	künden	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M137-N1_12-1_V.ttl.conll#bPARSE_448	DAT>ACC	DDART	NA	_	PPER	main		12	1	V	

# ../../ReM/full_corpus/conll/M142-G1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M142-G1_12-1_V.ttl.conll#s15_0	komen machen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M142-G1_12-1_V.ttl.conll#bPARSE_266	ACC>DAT	_	PPER	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M142-G1_12-1_V.ttl.conll#s62_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M142-G1_12-1_V.ttl.conll#bPARSE_1149	DAT>ACC	_	NA	_	PPER	main		12	1	V	

# ../../ReM/full_corpus/conll/M143-G1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M143-G1_12-1_V.ttl.conll#s26_0	tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M143-G1_12-1_V.ttl.conll#bPARSE_376	DAT>ACC	_	NA	_	PPER	depOrCoord		12	1	V	

# ../../ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#s12_0	er-wërben gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#bPARSE_268	DAT>ACC	_	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#s47_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#bPARSE_923	DAT>ACC	_	NA	_	PPER	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#s17_0	loèsen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#bPARSE_412	DAT>ACC	_	PPER	_	NA	depOrCoord		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#s6_0	be-schirmen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#bPARSE_100	ACC>DAT	DPOSA	NA	_	NA	main		12	1	V	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#s17_0	tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M152-G1_12-1_V.ttl.conll#bPARSE_406	DAT>ACC	_	NA	_	PPER	main		12	1	V	

# ../../ReM/full_corpus/conll/M199B-N1_12-1_V.ttl.conll

# ../../ReM/full_corpus/conll/M247-N1_12-1_V.ttl.conll

# ../../ReM/full_corpus/conll/M250-N1_12-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M250-N1_12-1_V.ttl.conll#s1_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M250-N1_12-1_V.ttl.conll#bPARSE_7	ACC>DAT	_	NA	_	NA	main		12	1	V	
